,FI
geo_level_2_id_350,36
geo_level_2_id_1182,36
geo_level_2_id_634,36
geo_level_2_id_694,36
geo_level_2_id_721,36
geo_level_2_id_941,36
has_secondary_use_industry,36
geo_level_2_id_977,36
geo_level_2_id_1211,35
geo_level_2_id_1415,35
geo_level_2_id_104,35
geo_level_2_id_761,35
geo_level_2_id_695,35
geo_level_2_id_772,35
geo_level_2_id_1203,35
geo_level_2_id_138,35
geo_level_2_id_1054,35
geo_level_2_id_500,35
plan_configuration_c,35
geo_level_2_id_197,34
geo_level_2_id_438,34
geo_level_2_id_735,34
geo_level_2_id_734,34
geo_level_2_id_229,34
geo_level_2_id_1088,34
geo_level_2_id_598,34
geo_level_2_id_1026,34
geo_level_2_id_800,34
geo_level_2_id_1426,34
geo_level_2_id_1407,33
geo_level_2_id_55,33
geo_level_2_id_64,33
geo_level_2_id_49,33
geo_level_2_id_829,33
geo_level_2_id_730,33
geo_level_2_id_828,33
geo_level_2_id_753,33
geo_level_2_id_1093,33
geo_level_2_id_1060,33
geo_level_2_id_531,33
geo_level_2_id_919,33
geo_level_2_id_1112,33
geo_level_2_id_1297,32
geo_level_2_id_1250,32
geo_level_2_id_433,32
geo_level_2_id_1184,32
geo_level_2_id_473,32
geo_level_2_id_1142,32
geo_level_2_id_1141,32
geo_level_2_id_905,32
geo_level_2_id_30,32
geo_level_2_id_223,32
geo_level_2_id_233,32
geo_level_2_id_165,32
geo_level_2_id_169,32
geo_level_2_id_164,32
geo_level_2_id_210,32
geo_level_2_id_1207,31
geo_level_2_id_1031,31
geo_level_2_id_638,31
geo_level_2_id_227,31
geo_level_2_id_421,31
geo_level_2_id_333,31
geo_level_2_id_783,31
geo_level_2_id_909,31
geo_level_2_id_1389,31
geo_level_2_id_1356,30
geo_level_2_id_1188,30
geo_level_2_id_1363,30
geo_level_2_id_926,30
geo_level_2_id_996,30
geo_level_2_id_1115,30
geo_level_2_id_477,30
geo_level_2_id_630,30
geo_level_2_id_1040,30
geo_level_2_id_1005,30
geo_level_2_id_1210,30
geo_level_2_id_144,30
geo_level_2_id_491,30
geo_level_2_id_1243,30
geo_level_2_id_268,30
geo_level_2_id_516,30
geo_level_2_id_925,30
geo_level_2_id_464,30
geo_level_2_id_1294,30
geo_level_2_id_395,29
geo_level_2_id_1049,29
geo_level_2_id_512,29
geo_level_2_id_1206,29
geo_level_2_id_875,29
geo_level_2_id_1282,29
geo_level_2_id_839,29
geo_level_2_id_1007,29
geo_level_2_id_108,29
geo_level_2_id_938,29
geo_level_2_id_1195,29
geo_level_2_id_935,29
geo_level_2_id_519,29
geo_level_2_id_1128,29
geo_level_2_id_1217,29
geo_level_2_id_140,28
geo_level_2_id_1384,28
geo_level_2_id_551,28
geo_level_2_id_1322,28
geo_level_2_id_381,28
geo_level_2_id_605,28
geo_level_2_id_619,28
geo_level_2_id_147,28
geo_level_2_id_712,28
geo_level_2_id_671,28
geo_level_2_id_1067,28
geo_level_2_id_571,27
has_secondary_use_institution,27
